,Company,Ticker
128,Asian Hotels (North) Limited,ASIANHOTNR.NS
129,Asian Paints Limited,ASIANPAINT.NS
130,Asian Granito India Limited,ASIANTILES.NS
131,Aspinwall and Company Limited,ASPINWALL.NS
132,Astec LifeSciences Limited,ASTEC.NS
133,Aster DM Healthcare Limited,ASTERDM.NS
134,Astral Poly Technik Limited,ASTRAL.NS
135,Astra Microwave Products Limited,ASTRAMICRO.NS
136,AstraZeneca Pharma India Limited,ASTRAZEN.NS
137,Astron Paper & Board Mill Limited,ASTRON.NS
138,Agro Tech Foods Limited,ATFL.NS
139,Adani Total Gas Limited,ATGL.NS
140,Atlanta  Limited,ATLANTA.NS
141,Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS
142,Atul Limited,ATUL.NS
143,Atul Auto Limited,ATULAUTO.NS
144,AU Small Finance Bank Limited,AUBANK.NS
145,Aurionpro Solutions Limited,AURIONPRO.NS
146,Aurobindo Pharma Limited,AUROPHARMA.NS
147,Ausom Enterprise Limited,AUSOMENT.NS
148,Automotive Axles Limited,AUTOAXLES.NS
149,Autoline Industries Limited,AUTOIND.NS
150,Autolite (India) Limited,AUTOLITIND.NS
151,Avadh Sugar & Energy Limited,AVADHSUGAR.NS
152,Avanti Feeds Limited,AVANTIFEED.NS
153,AVT Natural Products Limited,AVTNPL.NS
154,Antony Waste Handling Cell Limited,AWHCL.NS
155,Axis Bank Limited,AXISBANK.NS
156,AXISCADES Technologies Limited,AXISCADES.NS
157,AYM Syntex Limited,AYMSYNTEX.NS
158,Bafna Pharmaceuticals Limited,BAFNAPH.NS
159,B.A.G Films and Media Limited,BAGFILMS.NS
160,Bajaj Auto Limited,BAJAJ-AUTO.NS
161,Bajaj Consumer Care Limited,BAJAJCON.NS
162,Bajaj Electricals Limited,BAJAJELEC.NS
163,Bajaj Finserv Limited,BAJAJFINSV.NS
164,Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS
165,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
166,Bajaj Finance Limited,BAJFINANCE.NS
167,Balaji Telefilms Limited,BALAJITELE.NS
168,Balaji Amines Limited,BALAMINES.NS
169,BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS
170,Balkrishna Paper Mills Limited,BALKRISHNA.NS
171,Balkrishna Industries Limited,BALKRISIND.NS
172,Ballarpur Industries Limited,BALLARPUR.NS
173,Balmer Lawrie & Company Limited,BALMLAWRIE.NS
174,Bal Pharma Limited,BALPHARMA.NS
175,Balrampur Chini Mills Limited,BALRAMCHIN.NS
176,Banaras Beads Limited,BANARBEADS.NS
177,Bannari Amman Sugars Limited,BANARISUG.NS
178,Banco Products (I) Limited,BANCOINDIA.NS
179,Bandhan Bank Limited,BANDHANBNK.NS
180,Bang Overseas Limited,BANG.NS
181,Banka BioLoo Limited,BANKA.NS
182,Bank of Baroda,BANKBARODA.NS
183,Bank of India,BANKINDIA.NS
184,Banswara Syntex Limited,BANSWRAS.NS
185,Bartronics India Limited,BARTRONICS.NS
186,BASF India Limited,BASF.NS
187,Bannari Amman Spinning Mills Limited,BASML.NS
188,Bata India Limited,BATAINDIA.NS
189,Bayer Cropscience Limited,BAYERCROP.NS
190,Bharat Bijlee Limited,BBL.NS
191,Bombay Burmah Trading Corporation Limited,BBTC.NS
192,Brightcom Group Limited,BCG.NS
193,B.C. Power Controls Ltd,BCP.NS
194,Bharat Dynamics Limited,BDL.NS
195,Beardsell Limited,BEARDSELL.NS
196,Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS
197,Bedmutha Industries Limited,BEDMUTHA.NS
198,Bharat Electronics Limited,BEL.NS
199,BEML Limited,BEML.NS
200,Bhansali Engineering Polymers Limited,BEPL.NS
201,Berger Paints (I) Limited,BERGEPAINT.NS
202,BF Investment Limited,BFINVEST.NS
203,BF Utilities Limited,BFUTILITIE.NS
204,BGR Energy Systems Limited,BGRENERGY.NS
205,Bhageria Industries Limited,BHAGERIA.NS
206,Bhagyanagar India Limited,BHAGYANGR.NS
207,Bhagyanagar Properties Limited,BHAGYAPROP.NS
208,Bhandari Hosiery Exports Limited,BHANDARI.NS
209,Bharat Forge Limited,BHARATFORG.NS
210,Bharat Gears Limited,BHARATGEAR.NS
211,Bharat Rasayan Limited,BHARATRAS.NS
212,Bharat Wire Ropes Limited,BHARATWIRE.NS
213,Bharti Airtel Limited,BHARTIARTL.NS
214,Bharat Heavy Electricals Limited,BHEL.NS
215,Bigbloc Construction Limited,BIGBLOC.NS
216,Bhartiya International Limited,BIL.NS
217,Bil Energy Systems Limited,BILENERGY.NS
218,Oswal Chemicals & Fertilizers Limited,BINDALAGRO.NS
219,Biocon Limited,BIOCON.NS
220,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS
221,Birla Cable Limited,BIRLACABLE.NS
222,Birla Corporation Limited,BIRLACORPN.NS
223,Aditya Birla Money Limited,BIRLAMONEY.NS
224,Birla Tyres Limited,BIRLATYRE.NS
225,Bkm Industries Limited,BKMINDST.NS
226,BLB Limited,BLBLIMITED.NS
227,Bliss GVS Pharma Limited,BLISSGVS.NS
228,B. L. Kashyap and Sons Limited,BLKASHYAP.NS
229,BLS International Services Limited,BLS.NS
230,Blue Coast Hotels Limited,BLUECOAST.NS
231,Blue Dart Express Limited,BLUEDART.NS
232,Blue Star Limited,BLUESTARCO.NS
233,Bodal Chemicals Limited,BODALCHEM.NS
234,Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS
235,Borosil Limited,BOROLTD.NS
236,BOROSIL RENEWABLES LIMITED,BORORENEW.NS
237,Bosch Limited,BOSCHLTD.NS
238,Bharat Petroleum Corporation Limited,BPCL.NS
239,BPL Limited,BPL.NS
240,Bombay Rayon Fashions Limited,BRFL.NS
241,Brigade Enterprises Limited,BRIGADE.NS
242,Britannia Industries Limited,BRITANNIA.NS
243,Bharat Road Network Limited,BRNL.NS
244,Brooks Laboratories Limited,BROOKS.NS
245,BSE Limited,BSE.NS
246,BSEL Infrastructure Realty Limited,BSELINFRA.NS
247,Bombay Super Hybrid Seeds Limited,BSHSL.NS
248,BSL Limited,BSL.NS
249,BIRLASOFT LIMITED,BSOFT.NS
250,Burger King India Limited,BURGERKING.NS
251,Burnpur Cement Limited,BURNPUR.NS
252,Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS
253,Barak Valley Cements Limited,BVCL.NS
254,The Byke Hospitality Ltd,BYKE.NS
255,Cadila Healthcare Limited,CADILAHC.NS
256,California Software Company Limited,CALSOFT.NS
257,Camlin Fine Sciences Limited,CAMLINFINE.NS
258,Computer Age Management Services Limited,CAMS.NS
259,Canara Bank,CANBK.NS
260,C & C Constructions Limited,CANDC.NS
261,Can Fin Homes Limited,CANFINHOME.NS
262,Cantabil Retail India Limited,CANTABIL.NS
263,Capacit'e Infraprojects Limited,CAPACITE.NS
264,Caplin Point Laboratories Limited,CAPLIPOINT.NS
265,Capital Trust Limited,CAPTRUST.NS
266,Carborundum Universal Limited,CARBORUNIV.NS
267,Career Point Limited,CAREERP.NS
268,CARE Ratings Limited,CARERATING.NS
269,Castrol India Limited,CASTROLIND.NS
270,Country Club Hospitality & Holidays Limited,CCHHL.NS
271,CCL Products (India) Limited,CCL.NS
272,Central Depository Services (India) Limited,CDSL.NS
273,CEAT Limited,CEATLTD.NS
274,Commercial Engineers & Body Builders Co Limited,CEBBCO.NS
275,Celebrity Fashions Limited,CELEBRITY.NS
276,Century Enka Limited,CENTENKA.NS
277,Century Extrusions Limited,CENTEXT.NS
278,Central Bank of India,CENTRALBK.NS
279,Centrum Capital Limited,CENTRUM.NS
